R,G,B,Y
0.952302632,1,0.993421053,0
0.935691318,1,0.979099678,0
0.928917609,1,0.982229402,0
0.935379645,1,0.982229402,0
0.930979133,1,0.97752809,0
0.933656958,1,0.978964401,0
0.9273021,1,0.987075929,0
0.922590837,1,0.992101106,0
0.937597504,1,0.985959438,0
0.944620253,1,0.981012658,0
0.940988836,1,0.980861244,0
0.939968404,1,0.976303318,0
0.937198068,1,0.982286634,0
0.936305732,1,0.977707006,0
0.937299035,1,0.982315113,0
0.934189406,1,0.983948636,0
0.936507937,1,0.982539683,0
0.939586645,1,0.980922099,0
0.925117005,1,0.995319813,0
0.943939394,1,0.977272727,0
0.939440994,1,0.97515528,0
0.948598131,1,0.973520249,0
0.931993818,1,0.973724884,0
0.936630603,1,0.969088099,0
0.930533118,1,0.98546042,0
0.93533123,1,0.987381703,0
0.940717629,1,0.981279251,0
0.941082803,1,0.97611465,0
0.924290221,1,0.984227129,0
0.931782946,1,0.979844961,0
0.938271605,1,0.978395062,0
0.932307692,1,0.978461538,0
0.942901235,1,0.970679012,0
0.932515337,1,0.98006135,0
0.946456693,1,0.976377953,0
0.936995153,1,0.983844911,0
0.92721519,1,0.985759494,0
0.944358578,1,0.970633694,0
0.937699681,1,0.979233227,0
0.923930269,1,0.982567353,0
0.933021807,1,0.987538941,0
0.936746988,1,0.97439759,0
0.947368421,1,0.984520124,0
0.949230769,1,0.975384615,0
0.943573668,1,0.985893417,0
0.945226917,1,0.976525822,0
0.955518946,1,0.998352554,0
0.924679487,1,0.987179487,0
0.940251572,1,0.981132075,0
0.942857143,1,0.977777778,0
0.932475884,1,0.982315113,0
0.942161339,1,0.97260274,0
0.936842105,1,0.97443609,0
0.936950147,1,0.96627566,0
0.946153846,1,0.975384615,0
0.942857143,1,0.971428571,0
0.943076923,1,0.973846154,0
0.93445122,1,0.975609756,0
0.944615385,1,0.975384615,0
0.933436533,1,0.981424149,0
0.933333333,1,0.974242424,0
0.948091603,1,0.967938931,0
0.93498452,1,0.972136223,0
0.943368107,1,0.965722802,0
0.922619048,1,0.970238095,0
0.951145038,1,0.986259542,0
0.953313253,1,0.96686747,0
0.940564636,1,0.965824666,0
0.944615385,1,0.970769231,0
0.930769231,1,0.984615385,0
0.946646341,1,0.977134146,0
0.940625,1,0.978125,0
0.941984733,1,0.974045802,0
0.938176198,1,0.973724884,0
0.935779817,1,0.967889908,0
0.93445122,1,0.981707317,0
0.940458015,1,0.977099237,0
0.945537065,1,0.966717095,0
0.936073059,1,0.97108067,0
0.942161339,1,0.96803653,0
0.936532508,1,0.973684211,0
0.930124224,1,0.982919255,0
0.935582822,1,0.972392638,0
0.936137072,1,0.975077882,0
0.93990755,1,0.978428351,0
0.944099379,1,0.976708075,0
0.9342723,1,0.984350548,0
0.938176198,1,0.970633694,0
0.929577465,1,0.984350548,0
0.938967136,1,0.976525822,0
0.929797192,1,0.976599064,0
0.932707355,1,0.984350548,0
0.9421875,1,0.9734375,0
0.933753943,1,0.982649842,0
0.936236392,1,0.973561431,0
0.932917317,1,0.976599064,0
0.933962264,1,0.98427673,0
0.939252336,1,0.979750779,0
0.935534591,1,0.982704403,0
0.926267281,1,0.980030722,0
0.933021807,1,0.978193146,0
0.934579439,1,0.976635514,0
0.934782609,1,0.979813665,0
0.934883721,1,0.973643411,0
